396,Sebastopol,Sonoma,"7,657",
397,Winters,Yolo,"7,618",
398,Escalon,San Joaquin,"7,501",
399,Fairfax,Marin,"7,498",
400,Ojai,Ventura,"7,436",
401,Cotati,Sonoma,"7,429",
402,Fort Bragg,Mendocino,"7,409",
403,Huron,Fresno,"7,404",
404,Sausalito,Marin,"7,355",
405,Hughson,Stanislaus,"7,303",
406,Taft,Kern,"7,142",
407,Atherton,San Mateo,"6,896",
408,Loomis,Placer,"6,808",
409,Fowler,Fresno,"6,601",
410,Calipatria,Imperial,"6,509",
411,Crescent City,Del Norte,"6,282",
412,Colusa,Colusa,"6,268",
413,Holtville,Imperial,"6,236",
414,Willows,Glenn,"6,233",
415,Gridley,Butte,"6,129",
416,St Helena,Napa,"6,070",
417,Paradise,Butte,"6,046",
418,Gustine,Merced,"5,845",
419,Villa Park,Orange,"5,759",
420,Woodside,San Mateo,"5,628",
421,Dos Palos,Merced,"5,575",
422,Solvang,Santa Barbara,"5,512",
423,Williams,Colusa,"5,487",
424,La Habra Heights,Los Angeles,"5,451",
425,Buellton,Santa Barbara,"5,435",
426,Indian Wells,Riverside,"5,428",
427,Needles,San Bernardino,"5,353",
428,Calistoga,Napa,"5,340",
429,Big Bear Lake,San Bernardino,"5,189",
430,Willits,Mendocino,"5,040",
431,Lakeport,Lake,"4,774",
432,Sonora,Tuolumne,"4,690",
433,Jackson,Amador,"4,621",
434,Brisbane,San Mateo,"4,579",
435,Portola Valley,San Mateo,"4,560",
436,Del Mar,San Diego,"4,258",
437,San Joaquin,Fresno,"4,145",
438,Angels City,Calaveras,"4,038",
439,CarmelbytheSea,Monterey,"4,023",
440,Avalon,Los Angeles,"3,973",
441,Bishop,Inyo,"3,924",
442,Wheatland,Yuba,"3,610",
443,Monte Sereno,Santa Clara,"3,604",
444,Mount Shasta,Siskiyou,"3,408",
445,Rio Dell,Humboldt,"3,299",
446,Nevada City,Nevada,"3,081",
447,Alturas,Modoc,"2,886",
448,Weed,Siskiyou,"2,657",
449,Yountville,Napa,"2,642",
450,Ross,Marin,"2,547",
451,Sutter Creek,Amador,"2,421",
452,Westmorland,Imperial,"2,305",
453,Colfax,Placer,"2,172",
454,San Juan Bautista,San Benito,"2,151",
455,Belvedere,Marin,"2,066",
456,Portola,Plumas,"1,928",
457,Hidden Hills,Los Angeles,"1,913",
458,Rolling Hills,Los Angeles,"1,866",
459,Biggs,Butte,"1,727",
460,Del Rey Oaks,Monterey,"1,670",
461,Colma,San Mateo,"1,659",
462,Dunsmuir,Siskiyou,"1,648",
463,Irwindale,Los Angeles,"1,441",
464,Ferndale,Humboldt,"1,368",
465,Montague,Siskiyou,"1,353",
466,Blue Lake,Humboldt,"1,262",
467,Maricopa,Kern,"1,142",
468,Bradbury,Los Angeles,"1,045",
469,Dorris,Siskiyou,991,
470,Plymouth,Amador,950,
471,Tulelake,Siskiyou,902,
472,Isleton,Sacramento,832,
473,Loyalton,Sierra,754,
474,Etna,Siskiyou,743,
475,Fort Jones,Siskiyou,670,
476,Tehama,Tehama,448,
477,Point Arena,Mendocino,435,
478,Industry,Los Angeles,427,
479,Sand City,Monterey,385,
480,Trinidad,Humboldt,342,
481,Vernon,Los Angeles,295,
482,Amador,Amador,153,
